_id,url,name,descSnippet,recentReviewsCount,recentReviewsPercent,allReviewsCount,allReviewsPercent,releaseDate,developer,publisher,popularTags,gameDetails,languages,achievements,genre,gameDescription,matureContent,minimumRequirements,recommendedRequirements,originalPrice,,,,,,,,,,,,,,,,,,
240,https://store.steampowered.com/app/240/CounterStrike_Source/,Counter-Strike: Source,Counter-Strike: Source blends Counter-Strike's award-winning teamplay action with the advanced technology of Source??technology.,1022,96,69533,95,"1 Nov, 2004",Valve,Valve,"Shooter,Action,FPS,Multiplayer,Team-Based,First-Person,Tactical,Competitive,PvP,eSports,Military,War,Strategy,Moddable,Difficult,Singleplayer,Atmospheric,Survival,Simulation,Sandbox","Cross-Platform Multiplayer,Steam Achievements,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes Source SDK","English,French,German,Italian,Japanese,Korean,Spanish - Spain,Russian,Simplified Chinese,Traditional Chinese,Thai,Turkish",147,Action,"About This Game
							THE NEXT INSTALLMENT OF THE WORLD'S # 1 ONLINE ACTION GAME Counter-Strike: Source blends Counter-Strike's award-winning teamplay action with the advanced technology of Source??technology. Featuring state of the art graphics, all new sounds, and introducing physics, Counter-Strike: Source is a must-have for every action gamer.","Mature Content Description
The developers describe the content like this:

			Includes intense violence and blood.",,,"??10,500",,,,,,,,,,,,,,,,,,
400,https://store.steampowered.com/app/400/Portal/,Portal,"Portal??is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.",1190,98,60839,98,"10 Oct, 2007",Valve,Valve,"Puzzle,Puzzle Platformer,3D Platformer,First-Person,Singleplayer,Sci-fi,Comedy,Female Protagonist,Action,Funny,Physics,Story Rich,Platformer,Classic,Science,FPS,Atmospheric,Short,Adventure,Dark Humor","Single-player,Steam Achievements,Captions available,Partial Controller Support,Includes level editor,Includes Source SDK,Commentary available,Remote Play on Phone,Remote Play on Tablet,Remote Play Together","English,French,German,Russian,Danish,Dutch,Finnish,Italian,Japanese,Norwegian,Polish,Portuguese,Simplified Chinese,Spanish - Spain,Swedish,Traditional Chinese,Korean",15,Action,"About This Game
Portal??is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.
The game is designed to change the way players approach, manipulate, and surmise the possibilities in a given environment; similar to how Half-Life¬Æ 2's Gravity Gun innovated new ways to leverage an object in any given situation.
Players must solve physical puzzles and challenges by opening portals to maneuvering objects, and themselves, through space.",,,,"??10,500",,,,,,,,,,,,,,,,,,
440,https://store.steampowered.com/app/440/Team_Fortress_2/,Team Fortress 2,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!",11872,93,706183,94,"10 Oct, 2007",Valve,Valve,"Free to Play,Hero Shooter,Multiplayer,FPS,Shooter,Action,Class-Based,Team-Based,Funny,First-Person,Online Co-Op,Cartoony,Competitive,Trading,Co-op,Comedy,Robots,Tactical,Cartoon,Crafting","Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,In-App Purchases,Partial Controller Support,Valve Anti-Cheat enabled,Stats,Includes level editor,Commentary available,Remote Play on Phone,Remote Play on Tablet","English,Danish,Dutch,Finnish,French,German,Italian,Japanese,Norwegian,Polish,Portuguese,Russian,Simplified Chinese,Spanish - Spain,Swedish,Traditional Chinese,Korean,Czech,Hungarian,Portuguese - Brazil,Turkish,Greek,Bulgarian,Romanian,Thai,Ukrainian",520,"Action,Free to Play","About This Game
""The most fun you can have online"" - PC Gamer
Is now FREE!
									 There?ôs no catch! Play as much as you want, as long as you like!
The most highly-rated free game of all time!
									 One of the most popular online action games of all time, Team Fortress 2 delivers constant free updates?înew game modes, maps, equipment and, most importantly, hats. Nine distinct classes provide a broad range of tactical abilities and personalities, and lend themselves to a variety of player skills.
New to TF? Don?ôt sweat it!
									 No matter what your style and experience, we?ôve got a character for you. Detailed training and offline practice modes will help you hone your skills before jumping into one of TF2?ôs many game modes, including Capture the Flag, Control Point, Payload, Arena, King of the Hill and more.
Make a character your own!
									 There are hundreds of weapons, hats and more to collect, craft, buy and trade. Tweak your favorite class to suit your gameplay style and personal taste. You don?ôt need to pay to win?îvirtually all of the items in the Mann Co. Store can also be found in-game.","Mature Content Description
The developers describe the content like this:

			Includes cartoon violence and gore.",Minimum:OS: Windows¬Æ 7 (32/64-bit)/Vista/XPProcessor: 1.7 GHz Processor or betterMemory: 512 MB RAMDirectX: Version 8.1Network: Broadband Internet connectionStorage: 15 GB available space,"Recommended:OS: Windows¬Æ 7 (32/64-bit)Processor: Pentium 4 processor (3.0GHz, or better)Memory: 1 GB RAMDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 15 GB available space",Free to Play,,,,,,,,,,,,,,,,,,
550,https://store.steampowered.com/app/550/Left_4_Dead_2/,Left 4 Dead 2,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.",6746,97,255523,97,"16 Nov, 2009",Valve,Valve,"Zombies,Co-op,FPS,Multiplayer,Shooter,Action,Online Co-Op,Survival,Horror,First-Person,Gore,Team-Based,Survival Horror,Moddable,Post-apocalyptic,Singleplayer,Adventure,Local Co-Op,Replay Value,Tactical","Single-player,Online PvP,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes Source SDK,Commentary available,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","English,Danish,Dutch,Finnish,French,German,Italian,Japanese,Korean,Norwegian,Polish,Portuguese,Russian,Simplified Chinese,Spanish - Spain,Swedish,Traditional Chinese,Hungarian,Turkish",100,Action,"About This Game
							Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008.                    This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.                    You'll play as one of four new survivors armed with a wide and devastating array of classic and upgraded weapons. In addition to firearms, you'll also get a chance to take out some aggression on infected with a variety of carnage-creating melee weapons, from chainsaws to axes and even the deadly frying pan.                    You'll be putting these weapons to the test against (or playing as in Versus) three horrific and formidable new Special Infected. You'll also encounter five new ¬ìuncommon¬î common infected, including the terrifying Mudmen.                    Helping to take L4D's frantic, action-packed gameplay to the next level is AI Director 2.0. This improved Director has the ability to procedurally change the weather you'll fight through and the pathways you'll take, in addition to tailoring the enemy population, effects, and sounds to match your performance. L4D2 promises a satisfying and uniquely challenging experience every time the game is played, custom-fitted to your style of play. Next generation co-op action gaming from the makers of Half-Life, Portal, Team Fortress and Counter-Strike. Over 20 new weapons & items headlined by over 10 melee weapons ??axe, chainsaw, frying pan, baseball bat ??allow you to get up close with the zombies New survivors. New Story. New dialogue.  Five expansive campaigns for co-operative, Versus and Survival game modes. An all new multiplayer mode. Uncommon common infected. Each of the five new campaigns contains at least one new ¬ìuncommon common¬î zombies which are exclusive to that campaign.  AI Director 2.0: Advanced technology dubbed ¬ìThe AI Director¬î drove L4D's unique gameplay ??customizing enemy population, effects, and music, based upon the players??performance. L4D 2 features ¬ìThe AI Director 2.0¬î which expands the Director?ôs ability to customize level layout, world objects, weather, and lighting to reflect different times of day. Stats, rankings, and awards system drives collaborative play","Mature Content Description
The developers describe the content like this:

			Left 4 Dead 2 features intense violence, blood and gore (including decapitation or dismemberment of zombie-like creatures) and some strong language.","Minimum:OS: Windows¬Æ 7 32/64-bit / Vista 32/64 / XPProcessor: Pentium 4 3.0GHzMemory: 2 GB RAMGraphics: Video card with 128 MB, Shader model 2.0. ATI X800, NVidia 6600 or betterDirectX: Version 9.0cStorage: 13 GB available spaceSound Card: DirectX 9.0c compatible sound card","Recommended:OS: Windows¬Æ 7 32/64-bit / Vista 32/64 / XPProcessor: Intel core 2 duo 2.4GHzMemory: 2 GB RAMGraphics: Video Card Shader model 3.0. NVidia 7600, ATI X1600 or betterDirectX: Version 9.0cStorage: 13 GB available spaceSound Card: DirectX 9.0c compatible sound card","??10,500",,,,,,,,,,,,,,,,,,
570,https://store.steampowered.com/app/570/Dota_2/,Dota 2,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.",15273,76,1370697,84,"9 Jul, 2013",Valve,Valve,"Free to Play,MOBA,Multiplayer,Strategy,eSports,Team-Based,Competitive,Action,Online Co-Op,PvP,Difficult,Co-op,RTS,Tower Defense,Fantasy,RPG,Character Customization,Replay Value,Action RPG,Simulation","Steam Trading Cards,Steam Workshop,SteamVR Collectibles,In-App Purchases,Valve Anti-Cheat enabled,Valve Index,HTC Vive,Tracked Motion Controllers,Seated,Standing,Room-Scale","English,Bulgarian,Czech,Danish,Dutch,Finnish,French,German,Greek,Hungarian,Italian,Japanese,Korean,Norwegian,Polish,Portuguese,Portuguese - Brazil,Romanian,Russian,Simplified Chinese,Spanish - Spain,Swedish,Thai,Traditional Chinese,Turkish,Ukrainian",,,"Reviews
?úA modern multiplayer masterpiece.??.5/10 ??Destructoid?úOnce you start to learn its secrets, there?ôs a wild and exciting variety of play here that?ôs unmatched, even by its peers.??.4/10 ??IGN?úDota 2 is possibly the only competitive free-to-play game that is totally uncompromised by its business model.??0/100 ??PC Gamer","About This Game
The most-played game on Steam.Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has truly taken on a life of its own.One Battlefield. Infinite Possibilities.When it comes to diversity of heroes, abilities, and powerful items, Dota boasts an endless array?îno two games are the same. Any hero can fill multiple roles, and there's an abundance of items to help meet the needs of each game. Dota doesn't provide limitations on how to play, it empowers you to express your own style.All heroes are free.Competitive balance is Dota's crown jewel, and to ensure everyone is playing on an even field, the core content of the game?îlike the vast pool of heroes?îis available to all players. Fans can collect cosmetics for heroes and fun add-ons for the world they inhabit, but everything you need to play is already included before you join your first match.Bring your friends and party up.Dota is deep, and constantly evolving, but it's never too late to join. Learn the ropes playing co-op vs. bots. Sharpen your skills in the hero demo mode. Jump into the behavior- and skill-based matchmaking system that ensures you'll be matched with the right players each game.",,,Free to Play,,,,,,,,,,,,,,,,,,
620,https://store.steampowered.com/app/620/Portal_2/,Portal 2,"The ""Perpetual Testing Initiative"" has been expanded to allow you to design co-op puzzles for you and your friends!",3130,98,165244,98,"18 Apr, 2011",Valve,Valve,"Platformer,Dark Humor,Puzzle Platformer,First-Person,Story Rich,Female Protagonist,3D Platformer,Puzzle,Action-Adventure,Funny,FPS,Action,Physics,Level Editor,Co-op,Sci-fi,Science,Atmospheric,Comedy,Adventure","Single-player,Online Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Stats,Includes level editor,Commentary available,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","English,French,German,Spanish - Spain,Czech,Danish,Dutch,Finnish,Hungarian,Italian,Japanese,Korean,Norwegian,Polish,Portuguese,Romanian,Russian,Simplified Chinese,Swedish,Thai,Traditional Chinese,Turkish",51,"Action,Adventure","About This Game
							Portal 2 draws from the award-winning formula of innovative gameplay, story, and music that earned the original Portal over 70 industry accolades and created a cult following.										The single-player portion of Portal 2 introduces a cast of dynamic new characters, a host of fresh puzzle elements, and a much larger set of devious test chambers. Players will explore never-before-seen areas of the Aperture Science Labs and be reunited with GLaDOS, the occasionally murderous computer companion who guided them through the original game. 										The game?ôs two-player cooperative mode features its own entirely separate campaign with a unique story, test chambers, and two new player characters. This new mode forces players to reconsider everything they thought they knew about portals. Success will require them to not just act cooperatively, but to think cooperatively.  Product Features Extensive single player: Featuring next generation gameplay and a wildly-engrossing story. Complete two-person co-op: Multiplayer game featuring its own dedicated story, characters, and gameplay. Advanced physics: Allows for the creation of a whole new range of interesting challenges, producing a much larger but not harder game. Original music. Massive sequel: The original Portal was named 2007's Game of the Year by over 30 publications worldwide.  Editing Tools: Portal 2 editing tools will be included.",,,,"??10,500",,,,,,,,,,,,,,,,,,
730,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/,Counter-Strike: Global Offensive,"Counter-Strike: Global Offensive (CS: GO) expands upon the team-based action gameplay that it pioneered when it was launched 19 years ago. CS: GO features new maps, characters, weapons, and game modes, and delivers updated versions of the classic CS content (de_dust2, etc.).",97542,88,4780550,87,"21 Aug, 2012",Valve,Valve,"FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,eSports,Tactical,First-Person,PvP,Online Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable","Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,In-App Purchases,Valve Anti-Cheat enabled,Stats,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","English,Czech,Danish,Dutch,Finnish,French,German,Hungarian,Italian,Japanese,Korean,Norwegian,Polish,Portuguese,Portuguese - Brazil,Romanian,Russian,Simplified Chinese,Spanish - Spain,Swedish,Thai,Traditional Chinese,Turkish,Bulgarian,Ukrainian,Greek,Spanish - Latin America,Vietnamese",167,"Action,Free to Play,Valve","About This Game
							Counter-Strike: Global Offensive (CS: GO) expands upon the team-based action gameplay that it pioneered when it was launched 19 years ago.

CS: GO features new maps, characters, weapons, and game modes, and delivers updated versions of the classic CS content (de_dust2, etc.).

""Counter-Strike took the gaming industry by surprise when the unlikely MOD became the most played online PC action game in the world almost immediately after its release in August 1999,"" said Doug Lombardi at Valve. ""For the past 12 years, it has continued to be one of the most-played games in the world, headline competitive gaming tournaments and selling over 25 million units worldwide across the franchise. CS: GO promises to expand on CS' award-winning gameplay and deliver it to gamers on the PC as well as the next gen consoles and the Mac.""","Mature Content Description
The developers describe the content like this:

			Includes intense violence and blood.",,,Free to Play,,,,,,,,,,,,,,,,,,
4000,https://store.steampowered.com/app/4000/Garrys_Mod/,Garry's Mod,Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play.,10647,96,507645,96,"29 Nov, 2006",Facepunch Studios,Valve,"Sandbox,Multiplayer,Funny,Moddable,Building,Comedy,Co-op,Mod,First-Person,Simulation,Physics,Online Co-Op,FPS,Singleplayer,Action,Shooter,Animation & Modeling,Indie,Massively Multiplayer,Adventure","Single-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Includes level editor,Remote Play on Tablet","English,French,Italian,German,Spanish - Spain,Bulgarian,Czech,Danish,Dutch,Finnish,Greek,Hungarian,Japanese,Korean,Norwegian,Polish,Portuguese,Portuguese - Brazil,Russian,Simplified Chinese,Swedish,Thai,Traditional Chinese,Turkish,Ukrainian",29,"Indie,Simulation","Reviews
?úIt brings back the silly glee of unbridled experimentation, intuitive learning and playful social interactions that most of us haven't experienced since childhood. For that, it's essential.??8 ??PC Gamer","About This Game
							Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play.You spawn objects and weld them together to create your own contraptions - whether that's a car, a rocket, a catapult or something that doesn't have a name yet - that's up to you. You can do it offline, or join the thousands of players who play online each day. If you're not too great at construction - don't worry! You can place a variety of characters in silly positions. But if you want to do more, we have the means.Beyond the SandboxThe Garry's Mod community is a tremendous source of content and has added hundreds of unique modes to the game. In Trouble In Terrorist Town, you can be a detective solving an online murder as criminals attempt to cover up their homicides. Be a ball, a plant, a chair, or anything else in Prop Hunt's elaborate, shape-shifting game of Hide & Seek. Elevator: Source is gaming's first elevator thrill ride, delivering players to airlocks and kitten dance parties. We have one of the most vibrant Steam Community Workshops, with over 300'000 models, maps, and contraptions to download. It has everything from new tools to improve your builds, to guns that fire rainbow-tinged nuclear blasts from space. Take as much or as little as you need: it?ôs all free. Please note: Some multiplayer servers and game-modes might require you to own other games - such as Counter-Strike: Source and Team Fortress 2.","Minimum:OS: Windows¬Æ XP/VistaProcessor: 2 GHz Processor or betterMemory: 4 GB RAMGraphics: 512MB dedicated VRAM or betterDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 5 GB available spaceSound Card: DirectX¬Æ 9 compatibleAdditional Notes: Mouse, Keyboard, Monitor",Recommended:OS: Windows¬Æ 7/8/8.1/10Processor: 2.5 GHz Processor or betterMemory: 8 GB RAMGraphics: 1GB dedicated VRAM or betterDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 20 GB available space,"??10,500",,,,,,,,,,,,,,,,,,
8500,https://store.steampowered.com/app/8500/EVE_Online/,EVE Online,"EVE Online is a community-driven spaceship MMO where players can play free, choosing their own path from countless options. Experience space exploration, immense PvP and PvE battles, mining, industry and a thriving player economy in an ever-expanding sandbox.",526,79,19786,76,"6 May, 2003",CCP,CCP,"Space,Massively Multiplayer,Sci-fi,Free to Play,RPG,Sandbox,MMORPG,Open World,Strategy,Action,PvP,Multiplayer,Economy,Space Sim,Spaceships,Simulation,Difficult,PvE,Tactical,Capitalism","MMO,Online PvP,Online Co-op,Steam Trading Cards","English,German,Russian,French,Korean",,"Action,Free to Play,Massively Multiplayer,RPG,Strategy",ZENITH - QUADRANT 3 BEGINS TODAY!,What Steam curators have to say about EVE,"Minimum:  OS: Windows 7 SP1 64-bit Processor: Intel Dual Core @ 2.0 GHz, AMD Dual Core @ 2.0 GHz) Memory: 4 GB or higher Hard Drive: 23 GB Free Space   Video: AMD Radeon 2600 XT or NVIDIA GeForce 8600 GTS Network: ADSL connection (or faster)","Recommended:  OS: Windows 10 64-bit Processor: Intel i7-7700 or AMD Ryzen 7 1700 @ 3.6 GHz or greater Memory: 16 GB or greater Hard Drive: 23 GB free space  Video: NVIDIA Geforce GTX 1060, AMD Radeon RX 580 or better with at least 4 GB VRAM Network: ADSL connection or faster",Free To Play,,,,,,,,,,,,,,,,,,
8870,https://store.steampowered.com/app/8870/BioShock_Infinite/,BioShock Infinite,"Indebted to the wrong people, with his life on the line, veteran of the U.S. Cavalry and now hired gun, Booker DeWitt has only one opportunity to wipe his slate clean. He must rescue Elizabeth, a mysterious girl imprisoned since childhood and locked up in the flying city of Columbia.",1149,93,74008,95,"25 Mar, 2013",Irrational Games,2K,"FPS,Story Rich,Action,Singleplayer,Steampunk,Atmospheric,Shooter,First-Person,Alternate History,Beautiful,Adventure,Great Soundtrack,Dystopian,Sci-fi,Time Travel,Fantasy,Gore,Linear,RPG,Immersive","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV","English,French,German,Italian,Spanish - Spain,Polish,Portuguese - Brazil,Russian,Japanese,Korean,Traditional Chinese",80,"Action,Irrational Games,Virtual Programming (Linux)","About This Game
							Indebted to the wrong people, with his life on the line, veteran of the U.S. Cavalry and now hired gun, Booker DeWitt has only one opportunity to wipe his slate clean. He must rescue Elizabeth, a mysterious girl imprisoned since childhood and locked up in the flying city of Columbia. Forced to trust one another, Booker and Elizabeth form a powerful bond during their daring escape. Together, they learn to harness an expanding arsenal of weapons and abilities, as they fight on zeppelins in the clouds, along high-speed Sky-Lines, and down in the streets of Columbia, all while surviving the threats of the air-city and uncovering its dark secret.Key Features The City in the Sky ??Leave the depths of Rapture to soar among the clouds of Columbia. A technological marvel, the flying city is a beautiful and vibrant world that holds a very dark secret.  Unlikely Mission ??Set in 1912, hired gun Booker DeWitt must rescue a mysterious girl from the sky-city of Columbia or never leave it alive.  Whip, Zip, and Kill ??Turn the city?ôs Sky-Lines into weaponized roller coasters as you zip through the flying city and dish out fatal hands-on punishment. Tear Through Time ??Open Tears in time and space to shape the battlefield and turn the tide in combat by pulling weapons, turrets, and other resources out of thin air. Vigorous Powers ??Throw explosive fireballs, shoot lightning, and release murders of crows as devastatingly powerful Vigors surge through your body to be unleashed against all that oppose you.  Custom Combat Experience ??With deadly weapons in one hand, powerful Vigors in the other, and the ability to open Tears in time and space, fight your own way through the floating city of Columbia to rescue Elizabeth and reach freedom.  1999 Mode ??Upon finishing BioShock Infinite, the player can unlock a game mode called ??999 Mode??that gives experienced players a taste of the kind of design and balance that hardcore gamers enjoyed back in the 20th century.",,"Minimum:OS: Windows Vista Service Pack 2 32-bit Processor: Intel Core 2 DUO 2.4 GHz / AMD Athlon X2 2.7 GHz Memory: 2GB Hard Disk Space: 20 GB free Video Card: DirectX10 Compatible ATI Radeon HD 3870 / NVIDIA 8800 GT / Intel HD 3000 Integrated Graphics Video Card Memory: 512 MB	 Sound: DirectX Compatible","Recommended:OS: Windows 7 Service Pack 1 64-bit Processor: Quad Core Processor Memory: 4GB Hard Disk Space: 30 GB free Video Card: DirectX11 Compatible, AMD Radeon HD 6950 / NVIDIA GeForce GTX 560 Video Card Memory: 1024 MB	 Sound: DirectX Compatible","??32,000",,,,,,,,,,,,,,,,,,
